主播名,房间名,房间url,游戏名,房间url
传奇手游王梓铭＠,3D手游,https://live.kuaishou.com/u/a17614419348,其他,https://live.kuaishou.com/u/a17614419348
杨可儿（互关）,180火龙手游打金,https://live.kuaishou.com/u/wrjj11111,其他,https://live.kuaishou.com/u/wrjj11111
弑天弟弟,十天一区冲级送奖,https://live.kuaishou.com/u/shitian24858,新天龙八部,https://live.kuaishou.com/u/shitian24858
传奇手游端游互通,传奇手游端游互通的直播间,https://live.kuaishou.com/u/wf0000001wf,神途,https://live.kuaishou.com/u/wf0000001wf
媚儿13424,冲级领点数,https://live.kuaishou.com/u/meier13424,新天龙八部,https://live.kuaishou.com/u/meier13424
_啊神,_啊神的直播间,https://live.kuaishou.com/u/wll88008800,其他,https://live.kuaishou.com/u/wll88008800
热血传奇强子（互）,新区,https://live.kuaishou.com/u/Z15241304333,其他,https://live.kuaishou.com/u/Z15241304333
70级复古版本👆🏻,体验服70复古上线送福利,https://live.kuaishou.com/u/3xb7iu2zv8sj6ai,DNF,https://live.kuaishou.com/u/3xb7iu2zv8sj6ai
传奇浅笑（良心主播）,逐鹿扛米,https://live.kuaishou.com/u/l15241098475,其他,https://live.kuaishou.com/u/l15241098475
互通手游小阿阳,太好玩了！,https://live.kuaishou.com/u/q839391370,梦幻西游,https://live.kuaishou.com/u/q839391370
DNF直播中送顶级SS套,送SS套点券了,https://live.kuaishou.com/u/xudo666666,DNF,https://live.kuaishou.com/u/xudo666666
User_1571791706010,泰山泰山,https://live.kuaishou.com/u/3xwxxczbriuuc6q,新大话西游2,https://live.kuaishou.com/u/3xwxxczbriuuc6q
白路🎖瞬喷教父S686,ss4 赛季无敌战神,https://live.kuaishou.com/u/hzyoye99,和平精英,https://live.kuaishou.com/u/hzyoye99
传奇小明（互关）🌹,霸道冰雪打金,https://live.kuaishou.com/u/CxMh8888,娱乐,https://live.kuaishou.com/u/CxMh8888
大秦米菲,大秦冰雪今晚沙巴克,https://live.kuaishou.com/u/3x6f4qmsz2t5mc9,其他,https://live.kuaishou.com/u/3x6f4qmsz2t5mc9
DNF江山直播中送天空套,送SS套点券了,https://live.kuaishou.com/u/Liudabao,DNF,https://live.kuaishou.com/u/Liudabao
