排名,名称,价格,发行日期,详情页地址
85,"Call Down the Hawk (The Dreamer Trilogy, Book 1)",$13.99,2019-11-05,https://www.amazon.com/Call-Down-Hawk-Dreamer-Trilogy/dp/1338188321/ref=zg_bsnr_283155_85/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
86,Little Weirds,$18.90,2019-11-05,https://www.amazon.com/Little-Weirds-Jenny-Slate/dp/0316485349/ref=zg_bsnr_283155_86/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
87,The Fab Four Cookbook: 21 Days to Change Your Life… One Plant-Based Bite at a Time,$23.75,2019-10-23,https://www.amazon.com/Fab-Four-Cookbook-Change-Plant-Based/dp/1732751234/ref=zg_bsnr_283155_87/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
88,A Minute to Midnight (An Atlee Pine Thriller (2)),$20.30,2019-11-19,https://www.amazon.com/Minute-Midnight-Atlee-Pine/dp/1538761602/ref=zg_bsnr_283155_88/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
89,Eberron: Rising from the Last War (D&D Campaign Setting and Adventure Book) (Dungeons & Dragons),$34.97,2019-11-19,https://www.amazon.com/Eberron-Campaign-Setting-Adventure-Dungeons/dp/0786966890/ref=zg_bsnr_283155_89/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
90,The Official Ninja Foodi Grill Cookbook for Beginners: 75 Recipes for Indoor Grilling and Air Frying Perfection,$17.99,2019-10-22,https://www.amazon.com/Official-Ninja-Foodi-Cookbook-Beginners/dp/1641529423/ref=zg_bsnr_283155_90/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
91,Welcoming the Unwelcome: Wholehearted Living in a Brokenhearted World,$17.49,2019-10-08,https://www.amazon.com/Welcoming-Unwelcome-Wholehearted-Living-Brokenhearted/dp/1611805651/ref=zg_bsnr_283155_91/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
92,This Book Is Gray,$6.99,2019-11-01,https://www.amazon.com/This-Book-Gray-Lindsay-Ward/dp/1542043409/ref=zg_bsnr_283155_92/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
93,Dominion: How the Christian Revolution Remade the World,$28.80,2019-10-29,https://www.amazon.com/Dominion-Christian-Revolution-Remade-World/dp/0465093507/ref=zg_bsnr_283155_93/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
94,Crazy Busy Keto,$13.99,2019-11-26,https://www.amazon.com/Crazy-Busy-Keto-Kristie-Sullivan/dp/1628603925/ref=zg_bsnr_283155_94/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
95,The Case Against Socialism,$26.09,2019-10-15,https://www.amazon.com/Case-Against-Socialism-Rand-Paul/dp/0062954865/ref=zg_bsnr_283155_95/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
96,"The Rise of Magicks: Chronicles of The One, Book 3",$20.29,2019-11-26,https://www.amazon.com/Rise-Magicks-Chronicles-One-Book/dp/1250123038/ref=zg_bsnr_283155_96/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
97,The Official Bright Line Eating Cookbook: Weight Loss Made Simple,$27.00,2019-10-22,https://www.amazon.com/Official-Bright-Line-Eating-Cookbook/dp/1401957137/ref=zg_bsnr_283155_97/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
