排名,币种,价格,24H涨跌幅,24H成交额,市值,流通量,图片地址
133,永恒代币,0.4667,0.67%,"4,957.45","3,498.33万","7,496.47万",https://img.jinse.com/jinse_1565838368707632312
104,Decentraland,0.0333,2.38%,907.06万,"3,495.25万",10.5亿,https://img.jinse.com/currencies/decentraland
140,黄金代币,17.2986,-1.76%,"272,760.7","3,459.74万",200万,https://img.jinse.com/currencies/digixdao
97,互联网币,0.0764,6.4%,"119,218.64","3,458.8万",4.53亿,https://img.jinse.com/831300_image20.png
65,墨客,0.2299,0.66%,4.54,"3,454.73万",1.5亿,https://img.jinse.com/880877_image20.png
394,DEC,0.6668,2.05%,"305,774.48","3,436.43万","5,154.38万",https://img.jinse.com/jinse_1567741818918481960
49,Zilliqa,0.00452026,0.59%,602万,"3,424.52万",75.76亿,https://img.jinse.com/551036_image20.png
2913,PundiX,0.0001224,-1.09%,568.9万,"3,360.42万","2,745.55亿",https://img.jinse.com/jinse_1566272094689371701
99,Electroneum,0.0034462,-1.9%,"114,059.82","3,356.44万",97.4亿,https://img.jinse.com/currencies/electroneum
154,云算宝,0.4181,6.64%,"327,564.65","3,347.87万","8,007.08万",https://img.jinse.com/currencies/rlc
143,STASIS EURS,1.0729,-0.43%,"4,768.82","3,323.8万","3,097.92万",https://img.jinse.com/jinse_1566282469315411821
119,Kyber Network,0.1974,0.24%,"963,823.44","3,289.31万",1.67亿,https://img.jinse.com/currencies/kyber-network
170,LAToken,0.0851,7.95%,"12,411.84","3,234.39万",3.8亿,https://img.jinse.com/jinse_1566282796879590283
78,Status,0.00901724,2.62%,"2,138.64万","3,128.95万",34.7亿,https://img.jinse.com/831264_image20.png
465,多链技术,0.0361,-7.52%,179.56万,"3,073.77万",8.5亿,https://img.jinse.com/currencies/ekt8
75,Stratis,0.3038,0.95%,"618,872.07","3,020.26万","9,942.18万",https://img.jinse.com/831187_image20.png
269,Crypterium,0.3622,1.17%,"70,163.46","2,909.37万","8,031.72万",https://img.jinse.com/jinse_1566284227865560475
152,Enigma,0.3882,3.65%,"218,126.86","2,904.99万","7,483.62万",https://img.jinse.com/currencies/enigma-project
103,Digitex Futures,0.038,0.03%,"30,384.77","2,853.09万",7.51亿,https://img.jinse.com/jinse_1566293914231689603
3176,康深思,0.0135,-0.61%,"32,171.64","2,831.01万",21亿,https://img.jinse.com/jinse_1568879942361104035
141,TomoChain,0.4766,12.62%,694.07万,"2,816.04万","5,904.5万",https://img.jinse.com/jinse_1566282426053817447
3190,玩客币,0.0468,3.77%,"66,577.77","2,775.6万",5.93亿,https://img.jinse.com/jinse_1568882342573941312
1754,WAX,0.0329,0.7%,22.01,"2,758.4万",8.37亿,https://img.jinse.com/831577_image20.png
82,Golem,0.0279,-1.51%,"1,006.56万","2,697.32万",9.64亿,https://img.jinse.com/831155_image20.png
128,元界,0.3703,0.44%,"79,991.39","2,664.47万","7,195.34万",https://resource.jinse.com/phenix/img/coin/ETP.png
2895,Lambda,0.0255,-1.31%,882.91万,"2,519.26万",9.88亿,https://img.jinse.com/currencies/lambda
112,小零币,2.9073,0.05%,111.46万,"2,335.45万",803.37万,https://img.jinse.com/831450_image20.png
115,亦来云,1.465,-1.26%,129.11万,"2,289.38万","1,564.24万",https://img.jinse.com/550994_image20.png
592,抹茶,0.0762,-3.05%,679.05万,"2,285.27万",3亿,https://img.jinse.com/jinse_1566272399045361787
2896,公信链,0.3808,0.08%,429.48万,"2,279.59万","6,000万",https://img.jinse.com/currencies/gxchain
282,Republic Protocol,0.0357,-2.12%,130.3万,"2,240.64万",6.28亿,https://img.jinse.com/currencies/republic-protocol
295,Ripio Credit Network,0.0455,-4.06%,"110,049.44","2,237.63万",4.92亿,https://img.jinse.com/currencies/ripio-credit-network
2897,牛顿,0.00183678,5.47%,136.4万,"2,194.64万",119.48亿,https://img.jinse.com/currencies/newton
427,DxChain Token,0.00087241,-0.99%,"308,538.81","2,181.07万",250亿,https://img.jinse.com/jinse_1566283187282665392
363,Tierion,0.0499,-4.46%,143.39万,"2,139.62万",4.28亿,https://img.jinse.com/currencies/tierion
264,Fusion,0.7218,-1.36%,"353,231.94","2,125.8万","2,968.43万",https://img.jinse.com/jinse_1566283939722431990
134,维基链,0.1115,-1.26%,"444,054.09","2,106.56万",1.89亿,https://img.jinse.com/currencies/waykichain
98,公证通,2.1834,-3.56%,"34,313.86","2,102.28万",962.84万,https://img.jinse.com/jinse_1566282196302447540
107,路印协议,0.0221,2.46%,"183,793.48","2,089.42万",9.45亿,https://img.jinse.com/jinse_1571278136104498535
142,蜗牛币,0.0007182,9.9%,"5,663.64","2,069.04万",288.09亿,https://img.jinse.com/831334_image20.png
244,Dynamic Trading Rights,0.0169,6.32%,482.77,"2,049.76万",12.15亿,https://img.jinse.com/jinse_1566283546633988877
171,PRIZM,0.2793,-1.49%,"26,169.54","1,998.44万","7,154.22万",https://resource.jinse.com/phenix/img/coin/PZM.png
476,Hydrogen,0.00674835,0,"19,820.95","1,973.24万",29.24亿,https://img.jinse.com/currencies/hydrogen
361,BCZERO,0.009813,0,"25,016.67","1,973.17万",20.11亿,https://img.jinse.com/jinse_1568277895746607823
